Record_type,LIN,SUBLIN,NSN,PBIC,TAC,ERC,ECS,UIC,NSN Nomenclature,REQ,AUTH,OH,DI,DOCUMENT NO,SC,ESD,UI,UP,RICC,ECC,LCC,CIIC,AAC,ABA,SER|DETECT SN|REG|LOT|SYS NO
S,70210N,,702101C173477,9,3,,,W8BT8E,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,95NJBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8E,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,95PHBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8E,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,95QJBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8E,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,965HBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8E,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,96FJBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8E,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,96GHBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8E,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,970LBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8E,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,97DJBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8E,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,97WKBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8E,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,97XKBY1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8F,"COMPUTER SYSTEM,DIGITAL",0,7,5,0,,,,EA,1827.15,0,JY,R,U,,2,GW1PKN1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8F,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GW2QKN1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8F,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GW3PKN1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8F,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GW7PKN1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8F,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GXPNKN1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8F,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,1,0,,,,EA,2481.66,0,JY,R,U,,2,71XGWV1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,23,21,0,,,,EA,1827.15,0,JY,R,U,,2,1MSJ1L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,2NMRPJ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,2S6Z2L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,3M9B1L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,3THBWK1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,6NY7TR1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,6NZ5TR1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,78H93L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,9M93VK1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,9SXQPJ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,B1QJ1L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,CR6Z2L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,CTXQPJ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,D7T9RL1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,FMGPKN1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,FMMRPJ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GT78RL1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GW6MKN1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GWXNKN1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GXXNKN1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GZ5NKN1|~|~|~|~
S,70210N,,7010015627989,9,3,,,W8BT8G,"COMPUTER SYSTEM,DIGITAL",0,0,1,0,,,,EA,1102.23,0,JY,R,U,,2,JLKBKH1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8G,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,4,0,,,,EA,2481.66,0,JY,R,U,,2,70ZKWV1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8G,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,70ZLWV1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8G,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,958JBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8G,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,95WHBY1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8J,"COMPUTER SYSTEM,DIGITAL",0,12,4,0,,,,EA,1827.15,0,JY,R,U,,2,4NLW1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8J,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5SZJDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8J,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GW7QKN1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BT8J,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GXWPKN1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8J,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,8,0,,,,EA,2481.66,0,JY,R,U,,2,96GJBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8J,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,96HKBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8J,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,96LJBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8J,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,97LHBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8J,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,97SKBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8J,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,97XHBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8J,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,980HBY1|~|~|~|~
S,70210N,,702101C173477,9,3,,,W8BT8J,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,0,0,,,,EA,2481.66,0,JY,R,U,,2,980LBY1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,477,290,0,,,,EA,1827.15,0,JY,R,U,,2,1L9B1L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,1QDJ1L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,1RXQPJ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,1WXQPJ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,25W93L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,27H93L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,28H93L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,2C8J4V1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,2C8K4V1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,2C8L4V1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,2C8N4V1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,2C9G4V1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,2C9H4V1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,2NSJ1L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,37DJ1L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,3SZ83L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,3WXQPJ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,422J1L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,46HJ1L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,47H93L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,49H93L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4M93VK1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4MTW1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4MVL1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4MVV1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4MVX1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4MWM1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4MXV1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4MYQ1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4MYS1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4MZL1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4MZN1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4MZQ1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4MZV1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4N0R1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4N1T1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4N7Q1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4N8Q1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4N8R1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4N8T1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4N8V1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4N9B1L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4N9Q1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4N9V1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4N9X1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NHK1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NHP1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NHT1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NJK1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NJN1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NKK1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NLK1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NLR1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NMN1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NMR1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NNP1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NNR1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NQW1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NQY1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4NRN1R1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4WXQPJ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,53QR2L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,57H93L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,57W93L1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5N93VK1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5S6JDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5S6KDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5S7JDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5S7KDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5S9LDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5SBJDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5SVJDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5SXHDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5SXJDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5SYHDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5T3JDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5T6KDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5T6LDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5TBLDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5TWHDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5TXKDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5TYHDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5TYKDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5W2JDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5W9KDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5W9LDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5WCJDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5WCKDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5WDLDQ1|~|~|~|~
S,70210N,,7010015006979,9,3,,,W8BTA1,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5WFKDQ1|~|~|~|~
